epoch     train_loss  valid_loss  accuracy  time    
126       0.334185    0.256285    0.872549  00:48     
127       0.345541    0.251063    0.901961  00:48     
128       0.314585    0.269195    0.901961  01:17     
129       0.313094    0.238594    0.892157  01:11     
130       0.308969    0.232685    0.911765  01:06     
131       0.293420    0.249949    0.882353  01:09     
132       0.348710    0.235858    0.921569  01:09     
133       0.331250    0.219328    0.921569  01:08     
134       0.312806    0.214777    0.931373  01:10     
135       0.310911    0.221608    0.941176  01:09     
136       0.315786    0.210346    0.921569  01:07     
137       0.302354    0.284213    0.882353  01:22     
138       0.326828    0.231911    0.921569  01:18     
139       0.304884    0.231281    0.921569  01:13     
140       0.318179    0.225281    0.941176  01:20     
141       0.349075    0.214730    0.941176  01:21     
142       0.316241    0.253305    0.901961  01:09     
143       0.289653    0.193850    0.931373  01:07     
144       0.286983    0.209783    0.941176  01:09     
145       0.333008    0.198956    0.931373  01:09     
146       0.324741    0.241262    0.901961  01:10     
147       0.270907    0.212704    0.931373  01:10     
148       0.299068    0.195741    0.931373  01:13     
149       0.318612    0.208586    0.911765  01:09     
150       0.301536    0.182826    0.911765  01:09     
151       0.304785    0.260229    0.911765  01:09     
152       0.271764    0.199877    0.921569  01:13     
153       0.258075    0.202476    0.931373  01:11     
154       0.279277    0.191740    0.941176  01:12     
155       0.257201    0.195221    0.960784  01:08     
156       0.271702    0.206520    0.931373  01:18     
157       0.292507    0.229278    0.911765  01:09     
158       0.293538    0.200076    0.950980  01:08     
159       0.268753    0.170225    0.921569  00:48     
160       0.253959    0.200270    0.931373  00:49     
161       0.304575    0.190877    0.941176  00:49     
162       0.292997    0.203166    0.921569  00:49     
163       0.273206    0.204696    0.950980  00:50     
164       0.288395    0.223621    0.911765  00:49     
165       0.256072    0.181927    0.941176  00:49     
166       0.250898    0.196973    0.950980  01:03     
167       0.265516    0.205425    0.931373  01:15     
168       0.289318    0.191539    0.960784  01:14     
169       0.316458    0.209661    0.941176  01:12     
170       0.282383    0.166414    0.950980  01:09     
171       0.275652    0.196781    0.921569  01:08     
172       0.254828    0.193600    0.950980  01:09     
173       0.250593    0.174014    0.931373  01:06     
174       0.247026    0.194423    0.941176  01:11     
175       0.283126    0.161957    0.950980  01:06     
176       0.293123    0.150344    0.960784  01:05     
177       0.264874    0.184003    0.941176  01:08     
178       0.255730    0.188040    0.960784  01:09     
179       0.267042    0.172456    0.941176  01:06     
180       0.291076    0.200977    0.931373  01:09     
181       0.266580    0.183612    0.911765  01:08     
182       0.262846    0.187668    0.931373  01:10     
183       0.283578    0.204622    0.950980  01:09     
184       0.271284    0.173052    0.941176  01:08     
185       0.297585    0.175873    0.931373  01:11     
186       0.291449    0.171040    0.950980  01:12     
187       0.269163    0.222405    0.941176  01:12     
188       0.285817    0.237804    0.921569  01:09     
189       0.252193    0.187748    0.931373  00:56     
190       0.265839    0.191192    0.921569  01:11     
191       0.286652    0.157571    0.960784  01:11     
192       0.271184    0.156896    0.960784  01:09     
193       0.259636    0.170808    0.960784  01:06     
194       0.246136    0.172135    0.941176  01:12     
195       0.275542    0.220349    0.921569  01:13     
196       0.266182    0.180500    0.921569  01:09     
197       0.269632    0.215784    0.960784  01:10     
198       0.257631    0.189563    0.970588  00:52     
199       0.244491    0.196420    0.931373  00:50 
